Country Name,"Birth rate (per 1,000)","Death, by communicable diseases and others (%)","Death, by non-communicable diseases (%)","Health expenditure per capita, PPP ($)","Death rate (per 1,000)","Hospital beds (per 1,000)","International tourism, number of arrivals",Life expectancy at birth (years),"Mortality rate, adult, female (per 1,000)","Mortality rate, adult, male (per 1,000)","Nurses and midwives (per 1,000)",People using at least basic sanitation services (%),Population ages 65+ (%),Population density (people per sq.km),Population,Smoking prevalence (ages 15+)
Switzerland,10.3,4.3,89.6,7867.39450543,7.9,4.7,10362000.0,83.60243902439029,35.896,58.20399999999999,17.2828,99.8903735152104,18.6232165647717,215.521378417094,8516543.0,25.7
Central African Republic,35.66,63.7,26.0,29.907771899999997,12.671,1.0,107000.0,52.24,364.478,401.556,0.2039,25.3196707449267,2.82577370666008,7.490412212270059,4666377.0,14.581697459167621
Guatemala,24.912,25.1,59.2,462.40585501,4.762,0.6,1781000.0,73.81,110.07799999999999,209.13400000000001,0.9470000000000001,65.0631350754195,4.81207250828785,160.953779395297,17247807.0,11.307327209222759
New Zealand,12.43,4.6,89.5,3664.7215455,6.95,2.8,3686000.0,81.65853658536591,52.507,80.56,10.955,100.0,15.652424527174098,18.5541756864532,4885500.0,16.0
Oman,19.785999999999998,10.5,71.9,2826.84695564,2.4619999999999997,1.6,2301000.0,77.393,66.491,104.9,4.3004,99.99999868352671,2.39278695625796,15.6041453957997,4829483.0,11.1
Malaysia,16.867,17.5,73.6,1052.5475800000002,5.013999999999999,1.9,25832000.0,75.828,82.73200000000001,154.826,4.0718,99.572036160354,6.67175462547886,95.9628214883579,31528585.0,21.5
Uganda,38.946999999999996,54.5,32.9,117.11069685,6.769,0.5,1402000.0,62.516000000000005,263.675,340.348,0.6303,18.4723181554851,1.9409869204631698,213.06173449032502,42723139.0,10.0
Algeria,24.846,14.8,75.7,998.15375388,4.717,1.9,2657000.0,76.499,81.785,104.0,2.24,87.58657093299419,6.3624965449798605,17.7300750711665,42228429.0,15.6
Guyana,20.202,20.0,67.6,332.67455358,7.365,1.6,287000.0,69.624,167.33900000000003,245.418,1.3398,85.7631015015164,6.45027124309697,3.9573482346964703,779004.0,18.241724944187407
Cote d'Ivoire,35.993,52.4,37.2,162.6449615,10.262,1.1036720674884946,1965000.0,57.016999999999996,364.35900000000004,406.184,0.8517,32.134907136788,2.85894301500285,78.8340534591195,25069229.0,12.619021707070589
Bulgaria,9.0,2.2,95.2,1577.94276162,15.5,6.8,9273000.0,74.8121951219512,88.309,197.081,5.3029,86.0036981124037,21.021914434268,64.7035372144436,7024216.0,37.0
Qatar,9.698,5.2,68.9,3926.12103707,1.169,1.2,1819300.0,79.98100000000001,45.755,63.558,6.6028,100.0,1.3700703387375,239.59319552110298,2781677.0,20.6
North Macedonia,10.953,1.9,95.3,934.57501099,9.965,4.4,707000.0,75.589,65.806,122.85600000000001,3.7917,99.1247422137253,13.6701813815648,82.59151467089609,2082958.0,16.75263049035632
Morocco,19.399,14.0,79.6,465.69960182,5.072,1.1,12289000.0,76.218,63.356,73.55,1.0979,88.5036440702561,7.0129048211122,80.72851893345279,36029138.0,23.4
Dominica,12.0,15.969322537017302,77.16480711370028,580.65767054,8.2,3.8,63000.0,78.26166397745241,121.82806557483805,184.20304796921175,5.8999,77.8927614955628,8.369326445084475,95.5,71625.0,17.52305229802719
Bosnia and Herzegovina,8.293,1.8,94.5,1123.4254254,10.562999999999999,3.5,1053000.0,77.128,62.81,123.61,6.2998,95.36023530872808,16.4703174710621,64.92048828125,3323929.0,38.9
South Africa,20.908,39.6,51.3,1071.34710362,9.498,3.5220531787680227,10472000.0,63.538000000000004,258.471,378.912,3.5171,75.74709840229629,5.31800500542302,47.630119776768396,57779622.0,20.3
Saint Vincent and the Grenadines,14.402999999999999,13.4,81.0,409.14005816,9.162,2.6,80000.0,72.3,125.86399999999999,179.467,2.5801,87.1843449007354,9.58978686338024,282.589743589744,110210.0,17.580639603134856
United Arab Emirates,10.456,6.5,76.8,2546.18760349,1.429,1.2,21286000.0,77.64699999999999,54.933,78.066,5.5857,98.586008743698,1.0850009848448101,135.609110109828,9630959.0,28.9
Eswatini,26.773000000000003,53.7,36.7,663.25257978,9.843,2.1,782000.0,58.318999999999996,350.23800000000006,486.09,2.0,58.351983291024396,4.01458794083506,66.05761627906979,1136191.0,9.0
Papua New Guinea,27.364,36.1,55.9,92.26734054,7.521,1.8481438818411686,140000.0,64.01,189.16099999999997,254.41400000000002,0.5125,12.949266967669802,3.4452692514561702,19.004363379410897,8606316.0,36.3
Cuba,10.386,8.4,83.7,2457.66804544,8.827,5.2,4684000.0,78.66199999999999,69.263,103.896,7.79,92.81024176314828,15.1862114171521,108.99959623149401,11338138.0,35.2
Fiji,21.56,10.1,84.4,313.17131214,8.18,2.3,870000.0,67.252,133.369,230.98,2.938,95.0721750698175,5.449680412639519,48.3570333880679,883483.0,22.6
Greece,8.2,10.9,86.2,2261.1565296,11.6,4.3,30123000.0,81.3878048780488,43.207,95.81200000000001,3.3728,98.98319077538571,21.6552720778435,83.22473235065941,10727668.0,43.4
